season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2021,ARI,K,K,5,ACT,Matt Prater,Matt,Prater,1984-08-10,70,201,Central Florida,00-0023853,11122,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,5051,3471,NA,549,17,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgkvdhqq950yzf14xnnb",NA,19,WC,A01,Matt,PRA143616,31446,32005052-4114-3616-ccef-0127103fb075,2006,2006,NA,NA
2021,LV,OL,T,72,RET,Donald Penn,Donald,Penn,1983-04-27,76,315,Utah State,00-0023894,10062,50bcb5d3-62fb-45ac-b25b-5dffbff0cb0c,8119,5150,3459,NA,5274,207,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbarhx9omymxl236etax",NA,19,WC,R02,Donald,PEN244635,31228,32005045-4e24-4635-4099-3bed2139bf9c,2006,2006,NA,NA
2021,GB,TE,TE,89,ACT,Marcedes Lewis,Marcedes,Lewis,1984-05-19,78,267,UCLA,00-0024243,9614,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,7777,4891,2973,LewiMa00,3061,111,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/waiqrdmxxu0as9vmp93h",TE,20,DIV,A01,Marcedes,LEW492053,30842,32004c45-5749-2053-af92-a96945af706a,2006,2006,JAX,28
2021,LA,OL,T,77,ACT,Andrew Whitworth,Andrew,Whitworth,1981-12-12,79,330,Louisiana State,00-0024270,NA,NA,NA,NA,NA,NA,NA,NA,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcpd1mheqjofcqoy8bd5",T,22,SB,A01,Andrew,WHI825900,30869,32005748-4982-5900-e93f-eb602e0a7d0b,2006,2006,CIN,55
2021,BAL,P,P,4,ACT,Sam Koch,Sam,Koch,1982-08-13,73,222,Nebraska,00-0024417,9789,544e4159-3da3-47ad-866c-bf48d7634f25,7952,7073,3148,KochSa20,430,13,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dw34lcf6qit1i1knjhpv",NA,18,REG,A01,Sam,KOC420430,31018,32004b4f-4342-0430-38c8-f7582cd5f048,2006,2006,BAL,203
2021,SEA,RB,RB,21,DEV,Adrian Peterson,Adrian,Peterson,1985-03-21,73,220,Oklahoma,00-0025394,10452,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,8261,5215,3623,PeteAd01,4807,184,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",NA,18,REG,P02,Adrian,PET260705,32200,32005045-5426-0705-afaf-b095105b31fb,2007,2007,MIN,7
2021,LA,DB,FS,20,ACT,Eric Weddle,Eric,Weddle,1985-01-04,71,195,Utah,00-0025424,10481,26138e8b-b776-492a-9684-b1c07e51b25c,8291,5370,3653,WeddEr99,7243,290,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkawujcrkiyelnzqnups",SAFETY,22,SB,P07,Eric,WED290361,32230,32005745-4429-0361-2ae4-59ca6faa52bc,2007,2007,SD,37
2021,NE,K,K,6,ACT,Nick Folk,Nick,Folk,1984-11-05,73,222,Arizona,00-0025565,10621,b37c621e-1125-4c35-bea0-fcabb1527060,8432,5365,NA,FolkNi20,11694,650,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/un54axlocxr0tu26lfcy",NA,19,WC,A01,Nick,FOL378021,32371,3200464f-4c37-8021-409f-36e78a589e4b,2007,2007,DAL,178
2021,GB,K,K,2,ACT,Mason Crosby,Mason,Crosby,1984-09-03,73,207,Colorado,00-0025580,10636,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,8447,5363,3809,CrosMa20,1694,59,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uescmbrai0qt442qamzb",NA,20,DIV,A01,Mason,CRO369933,32386,32004352-4f36-9933-a863-d4bf2cc5772e,2007,2007,GB,193
2021,CIN,LS,LS,46,ACT,Clark Harris,Clark,Harris,1984-07-10,77,250,Rutgers,00-0025630,10686,d7eec5c7-c401-485e-b0c8-fb0784c07b27,8497,5308,3859,HarrCl20,12330,738,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wieuqziklihqgtfcpxyh",NA,22,SB,A01,Clark,HAR351770,32436,32004841-5235-1770-ad8b-c366544f217d,2007,2007,GB,243
2021,TEN,P,P,6,ACT,Brett Kern,Brett,Kern,1986-02-17,74,214,Toledo,00-0025825,11555,9aec0e35-cef7-4093-8de6-49868ca8644b,9070,6315,4580,NA,10067,497,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eej4bvcoujtxx7giqlwn",NA,20,DIV,A01,Brett,KER326640,33338,32004b45-5232-6640-3d9d-98cba8c08416,2008,2008,NA,NA
2021,CAR,LS,LS,44,ACT,J.J. Jansen,Jeffrey,Jansen,1986-01-20,74,235,Notre Dame,00-0026027,NA,NA,NA,NA,NA,NA,NA,NA,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ugmw3fc7mdwii0yduihz",NA,18,REG,A01,J.J.,JAN681650,33557,32004a41-4e68-1650-bdb2-b3ecc68bb736,2008,2008,NA,NA
2021,HOU,WR,WR,89,ACT,Danny Amendola,Daniel,Amendola,1985-11-02,71,185,Texas Tech,00-0026035,11674,973bfe3c-6d0d-4130-a79c-f860650b1da6,9037,5813,4717,AmenDa00,9906,491,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",SLOT_WR,18,REG,A01,Danny,AME359918,33566,3200414d-4535-9918-e336-c0dd118d7e30,2008,2008,NA,NA
2021,ATL,QB,QB,2,ACT,Matt Ryan,Matthew,Ryan,1985-05-17,76,217,Boston College,00-0026143,11237,7e648a0b-fdc8-4661-a587-5826f2cac11b,8780,5610,4317,RyanMa00,732,24,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4u0bidfo1oi2tfirlc8",QB,18,REG,A01,Matt,RYA238179,33084,32005259-4123-8179-1aae-5603693aba86,2008,2008,ATL,3
2021,NYJ,QB,QB,19,ACT,Joe Flacco,Joseph,Flacco,1985-01-16,78,245,Delaware,00-0026158,11252,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795,5648,4332,FlacJo00,611,19,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kygd4zisxpt6uwztrxhk",NA,18,REG,A01,Joe,FLA009602,33099,3200464c-4100-9602-96e8-665718e215c0,2008,2008,BAL,18
2021,SEA,OL,T,76,ACT,Duane Brown,Duane,Brown,1985-08-30,76,315,Virginia Tech,00-0026166,NA,NA,NA,NA,NA,NA,NA,NA,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nbdzjjexh908hpuqcnjj",T,18,REG,A01,Duane,BRO408217,33107,32004252-4f40-8217-b6d5-7b42b3df2aa2,2008,2008,HOU,26
2021,LV,WR,WR,1,ACT,DeSean Jackson,DeSean,Jackson,1986-12-01,70,175,California,00-0026189,11283,3e618eb6-41f2-4f20-ad70-2460f9366f43,8826,5581,4363,JackDe00,3943,147,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pr5m864fqvnoozihylrh",WR,19,WC,A01,DeSean,JAC127681,33130,32004a41-4312-7681-93f9-b06ab3ee3184,2008,2008,PHI,49
2021,BAL,DL,DE,93,ACT,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzrxkjnu1o5ykzrjelrp",INTERIOR_LINE,18,REG,A01,Calais,CAM208843,33131,32004341-4d20-8843-b05a-24f8ec79f300,2008,2008,ARI,50
2021,KC,QB,QB,4,ACT,Chad Henne,Chad,Henne,1985-07-02,75,222,Michigan,00-0026197,11291,f55053e4-4bfd-495d-981a-d62e3662f01b,8834,5685,4371,HennCh01,2405,89,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tdf5tpwxekg03cujr5q5",NA,21,CON,A01,Chad,HEN507580,33138,32004845-4e50-7580-e49c-f07a94f3aec4,2008,2008,MIA,57
2021,NE,WR,WR,18,ACT,Matt Slater,Matthew,Slater,1985-09-09,72,205,UCLA,00-0026293,11387,9d404288-65c5-414f-8ea5-ceb97eccaea0,8930,5786,4467,SlatMa00,7651,312,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a3pqbxwndplogwoy1bgb",NA,19,WC,A01,Matt,SLA420538,33234,3200534c-4142-0538-6b7d-15160d047894,2008,2008,NE,153
2021,BAL,QB,QB,15,ACT,Josh Johnson,Joshua,Johnson,1986-05-15,74,219,San Diego,00-0026300,11394,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,8937,5653,4474,JohnJo05,6489,260,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/muipdy8m4jzoshkdsu75",NA,18,REG,A01,Josh,JOH000001,33241,32004a4f-4800-0001-966a-b4f304503fea,2008,2008,TB,160
2021,LA,QB,QB,9,ACT,Matthew Stafford,John,Stafford,1988-02-07,75,220,Georgia,00-0026498,12483,ade43b1a-0601-4672-83b6-d246bc066a19,9265,5971,4924,StafMa00,9038,421,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pxll35kun2cq2aeluaav",QB,22,SB,A01,Matthew,STA134157,34452,32005354-4113-4157-19b1-37e6835d09b9,2009,2009,DET,1
2021,MIN,P,P,2,CUT,Britton Colquitt,Britton,Colquitt,1985-03-20,75,210,Tennessee,00-0026516,12773,26164d5b-1e27-445d-8684-67b80e576567,9769,7192,5192,NA,8679,385,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/daujufaxsde6k6yj2ph1",NA,1,REG,A01,Britton,COL753921,34723,3200434f-4c75-3921-1360-4731a15a4db8,2009,2009,NA,NA
2021,LAC,QB,QB,4,ACT,Chase Daniel,William,Daniel,1986-10-07,72,229,Missouri,00-0026544,12471,0045a36c-f464-49e0-a25a-9210edc94bc1,9678,6162,5214,NA,9902,490,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ipenmeg3nebxyedpxvkz",NA,18,REG,A01,Chase,DAN230354,34754,32004441-4e23-0354-f686-46d36ead5645,2009,2009,NA,NA
2021,TB,DL,NT,96,ACT,Steve McLendon,Stephen,McLendon,1986-01-03,75,310,Troy,00-0026564,12895,cee49408-2e91-487a-a8ec-d3314ebf539d,9673,7168,5232,NA,11767,667,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0l6ltdi7h2dtahm3xh",INTERIOR_LINE,20,DIV,A01,Steve,MCL589496,34777,32004d43-4c58-9496-173d-63622d601895,2009,2009,NA,NA
2021,NE,QB,QB,5,ACT,Brian Hoyer,Brian,Hoyer,1985-10-13,74,215,Michigan State,00-0026625,12477,af4ba620-2f00-4b00-9111-7897f2b1cde8,9547,6140,5277,NA,8358,345,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qfawmzukujsqmuwlpkjy",NA,19,WC,A01,Brian,HOY440791,34843,3200484f-5944-0791-71d1-a8236e0d6f80,2009,2009,NA,NA
2021,TB,LS,LS,89,DEV,Garrison Sanborn,Garrison,Sanborn,1985-07-31,73,240,Florida State,00-0026844,NA,NA,NA,NA,NA,NA,NA,NA,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hf5lgpcdcidclrjmppfy",NA,14,REG,P07,Garrison,SAN042512,35072,32005341-4e04-2512-f951-78befecb91c6,2009,2009,NA,NA
2021,NYG,K,K,5,ACT,Graham Gano,Graham,Gano,1987-04-09,74,202,Florida State,00-0026858,12460,63f8a401-f308-4463-9d0b-4335b98da682,9526,6045,5443,NA,10333,503,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kibotlfb4ipuxdirxzp0",NA,18,REG,A01,Graham,GAN308500,35102,32004741-4e30-8500-b62f-cb2bc1d26244,2009,2009,NA,NA
2021,TB,K,K,3,ACT,Ryan Succop,Ryan,Succop,1986-09-19,74,218,South Carolina,00-0026968,12731,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,9520,6150,5180,SuccRy44,8750,391,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/utrcyt36k46mps8lgs7c",NA,20,DIV,A01,Ryan,SUC073828,34707,32005355-4307-3828-6982-7ecebf5df339,2009,2009,KC,256
2021,BAL,OL,T,76,CUT,Andre Smith,Andre,Smith,1987-01-25,76,330,Alabama,00-0026982,NA,NA,NA,NA,NA,NA,NA,NA,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dg8hzv2uomztyyaddgnn",NA,9,REG,P07,Andre,SMI038279,34457,3200534d-4903-8279-6b03-fd7b13c7173d,2009,2009,CIN,6
2021,NO,DB,SS,27,ACT,Malcolm Jenkins,Malcolm,Jenkins,1987-12-20,72,204,Ohio State,00-0026990,12426,0a4c5237-08a4-41d5-873d-18f70c025149,9278,6086,4937,JenkMa99,9196,444,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mbjf9xp0ilh4vbbwyzwi",SAFETY,18,REG,A01,Malcolm,JEN372222,34465,32004a45-4e37-2222-54a5-49c78979aed5,2009,2009,NO,14
2021,SF,OL,C,50,ACT,Alex Mack,Alex,Mack,1985-11-19,76,311,California,00-0026997,NA,NA,NA,NA,NA,NA,NA,NA,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ebzxqyz5e7h7wrszr5vn",C,21,CON,A01,Alex,MAC273212,34472,32004d41-4327-3212-1e14-4e6c9383176b,2009,2009,CLE,21
2021,NE,DB,SS,23,RET,Patrick Chung,Patrick,Chung,1987-08-19,71,215,Oregon,00-0027010,12527,64e89f8b-3e8f-4e07-bb73-c48f2a1dd8e2,9298,6095,4957,ChunPa99,8353,343,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a47ekoy2j1fb1jd3qqo4",NA,19,WC,R02,Patrick,CHU126772,34485,32004348-5512-6772-6a67-78cc38f9fd9d,2009,2009,NE,34
2021,LAC,TE,TE,87,ACT,Jared Cook,Jared,Cook,1987-04-07,77,254,South Carolina,00-0027061,12537,3b7a1409-d154-4e5c-8c94-9d4a0e0993c7,9353,5981,5012,CookJa02,8534,367,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cthoenebptadlu4g928v",SLOT_WR,18,REG,A01,Jared,COO152641,34540,3200434f-4f15-2641-bb32-32c02af1d6b5,2009,2009,TEN,89
2021,CIN,P,P,10,ACT,Kevin Huber,Kevin,Huber,1985-07-16,73,211,Cincinnati,00-0027103,12669,d14302ef-0224-4c92-961a-6d10452936ff,9406,7087,5066,HubeKe20,8433,353,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/olhw14pjioguxn8fgxvd",NA,22,SB,A01,Kevin,HUB689771,34593,32004855-4268-9771-ea36-7d1952b010f7,2009,2009,CIN,142
2021,ATL,P,P,19,ACT,Thomas Morstead,Thomas,Morstead,1986-03-08,76,235,Southern Methodist,00-0027114,12701,e5371625-0c83-4f1f-9252-c7e0b6bc616e,9428,6301,5088,MorsTh00,9201,445,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zid4pdkeagcqz9z6cblm",NA,18,REG,A01,Thomas,MOR758512,34615,32004d4f-5275-8512-839f-313ab30fb191,2009,2009,NO,164
2021,MIA,DB,FS,30,RES,Jason McCourty,Jason,McCourty,1987-08-13,71,195,Rutgers,00-0027136,12691,7c73efae-bf01-4226-a2f8-ec6243da9b99,9467,6221,5127,McCoJa99,8550,368,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/myk5ccdezt1lhjc8szbm",NA,18,REG,R01,Jason,MCC600480,34654,32004d43-4360-0480-1be9-f1c35ef61ff0,2009,2009,TEN,203
2021,LAC,LS,LS,54,ACT,Matt Overton,Matthew,Overton,1985-07-06,73,243,Western Washington,00-0027187,13186,77c36756-9d3a-4746-bba1-8ff32542cf74,9803,8517,6979,NA,14010,1112,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yeulo5dieb6um5zajehr",NA,18,REG,A01,Matt,OVE674964,35330,32004f56-4567-4964-cc37-416430c8e96d,2010,2010,NA,NA
2021,HOU,LS,LS,46,ACT,Jonathan Weeks,Jonathan,Weeks,1986-02-17,70,242,Baylor,00-0027224,NA,NA,NA,NA,NA,NA,NA,NA,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1ryam8nm1o7kiqokvn9",NA,18,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010,NA,NA
2021,BAL,DB,SS,41,ACT,Anthony Levine,Anthony,Levine,1987-03-27,71,207,Tennessee State,00-0027539,13845,04e8ea8f-8424-4196-a0fd-7dff3740c734,24677,7013,6013,NA,14767,1298,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gew5y4jtrh2jd7guowwk",NA,18,REG,A01,Anthony,LEV588156,36060,32004c45-5658-8156-a32d-7fbb1c1a107a,2010,2010,NA,NA
2021,TEN,LS,LS,46,ACT,Morgan Cox,Charles,Cox,1986-04-26,76,233,Tennessee,00-0027557,NA,NA,NA,NA,NA,NA,NA,NA,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/to8ggiitesym8vaxaqbe",NA,20,DIV,A01,Morgan,COX524880,36086,3200434f-5852-4880-cd4f-5e8dfeb6ae6c,2010,2010,NA,NA
2021,NYG,OL,G,69,RES,Ted Larsen,Theodore,Larsen,1987-06-13,75,323,North Carolina State,00-0027607,NA,NA,NA,NA,NA,NA,NA,NA,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d3jar3bcqsoyfvzpkbbl",NA,1,REG,R01,Ted,LAR422272,35644,32004c41-5242-2272-cfa4-780bee911657,2010,2010,NE,205
2021,NE,DB,FS,32,ACT,Devin McCourty,Devin,McCourty,1987-08-13,70,195,Rutgers,00-0027647,13236,88d2dbf4-3b9f-43ea-bac6-a8722cb24f43,24002,6621,5552,McCoDe99,10978,518,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ylu2odc8gk8nf4sbig4l",SAFETY,19,WC,A01,Devin,MCC600258,35466,32004d43-4360-0258-e4c2-62745bb56c73,2010,2010,NE,27
2021,TEN,OL,G,76,ACT,Rodger Saffold,Rodger,Saffold,1988-06-06,77,325,Indiana,00-0027648,NA,NA,NA,NA,NA,NA,NA,NA,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nasek2y0us6cise3zu3g",G,20,DIV,A01,Rodger,SAF408541,35472,32005341-4640-8541-2bbc-ef7e27a3a3bb,2010,2010,STL,33
2021,TB,TE,TE,87,ACT,Rob Gronkowski,Robert,Gronkowski,1989-05-14,78,265,Arizona,00-0027656,13229,2142a164-48ad-47d6-bb27-0bc58c6b2e62,24017,6443,5567,GronRo00,10974,515,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/svpo7chliiymc0r7hegp",TE,20,DIV,A01,Rob,GRO135948,35481,32004752-4f13-5948-af95-481204a115ed,2010,2010,NE,42
2021,SEA,LB,OLB,8,ACT,Carlos Dunlap,Carlos,Dunlap,1989-02-28,78,285,Florida,00-0027662,13274,e79d8a12-4ec0-46d3-ae42-384f16deebed,24029,6570,5579,DunlCa99,11023,529,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hogxjevkyeiydobppylg",EDGE,18,REG,A01,Carlos,DUN474478,35493,32004455-4e47-4478-d651-c5c2e90fab0d,2010,2010,CIN,54
2021,BUF,WR,WR,1,ACT,Emmanuel Sanders,Emmanuel,Sanders,1987-03-17,71,180,Southern Methodist,00-0027685,13295,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,24057,6523,5606,SandEm00,11063,538,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/potkibjtm855tsawozs0",WR,20,DIV,A01,Emmanuel,SAN295989,35521,32005341-4e29-5989-16d2-05d6a07248e9,2010,2010,PIT,82
2021,ARI,DL,DT,98,ACT,Corey Peters,Corey,Peters,1988-06-08,75,335,Kentucky,00-0027686,13292,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,24058,6682,5607,PeteCo00,11437,608,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zutvrtzwir9awk4zh7yn",INTERIOR_LINE,19,WC,A01,Corey,PET099667,35522,32005045-5409-9667-87ff-b243fa214ce8,2010,2010,ATL,83
2021,ARI,QB,QB,12,ACT,Colt McCoy,Daniel,McCoy,1986-09-05,73,212,Texas,00-0027688,13199,3699dfd9-d437-43f7-b674-adbb31e7e64b,24060,6444,5609,McCoCo00,11047,533,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anp7vkwvnmysxdq12kd6",QB,19,WC,A01,Colt,MCC603149,35524,32004d43-4360-3149-3730-03f6064d0cb7,2010,2010,CLE,85
2021,LAC,WR,WR,7,ACT,Andre Roberts,Andre,Roberts,1988-01-09,71,195,Citadel,00-0027691,13226,9691f874-be36-4529-a7eb-dde22ee4a848,24063,6506,5612,RobeAn00,11565,627,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o43lt0kbritqokqtm1mf",WR,18,REG,A01,Andre,ROB102317,35527,3200524f-4210-2317-b087-af0f9a8937e1,2010,2010,ARI,88
2021,CHI,TE,TE,80,ACT,Jimmy Graham,Jimmy,Graham,1986-11-24,79,265,Miami,00-0027696,13232,fd85786d-3900-4dc0-9b30-334ee30413ed,24070,6532,5619,GrahJi00,11488,616,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjigzfy77ggztpmdczkk",TE,18,REG,A01,Jimmy,GRA207087,35534,32004752-4120-7087-8983-64184106d580,2010,2010,NO,95
2021,MIN,DL,DE,97,RES,Everson Griffen,Everson,Griffen,1987-12-22,75,273,Southern California,00-0027701,13373,54475db4-f0e8-4513-bcc8-7e76362c19f7,24075,6572,5624,GrifEv99,11414,605,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fqvc0dkghdix5fq9tfaq",NA,18,REG,R27,Everson,GRI051627,35539,32004752-4905-1627-c59d-d570feec951d,2010,2010,MIN,100
2021,SEA,DL,DT,99,RES,Al Woods,Al,Woods,1987-03-25,75,330,Louisiana State,00-0027723,13493,7011a0e7-f402-4bc0-bba3-b31d3613e47f,24098,6714,5646,WoodAl99,12450,754,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eskrcqzg6sg7975oqpf9",NA,18,REG,R59,Al,WOO401988,35562,3200574f-4f40-1988-3618-55072355959c,2010,2010,NO,123
2021,LV,OL,T,79,RET,Sam Young,Samuel,Young,1987-06-24,80,302,Notre Dame,00-0027778,NA,NA,NA,NA,NA,NA,NA,NA,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sgk73lc5f2ge6tiircrx",NA,19,WC,R02,Sam,YOU573357,35618,3200594f-5557-3357-607a-f32e451c111b,2010,2010,DAL,179
